,NAV,date
0,17.55,24-Sep-2018
1,17.55,25-Sep-2018
2,17.37,26-Sep-2018
3,17.22,27-Sep-2018
4,17.07,28-Sep-2018
5,17.16,01-Oct-2018
6,17.14,03-Oct-2018
7,16.88,04-Oct-2018
8,16.53,05-Oct-2018
9,16.45,08-Oct-2018
10,16.33,09-Oct-2018
11,16.51,10-Oct-2018
12,16.33,11-Oct-2018
13,16.53,12-Oct-2018
14,16.71,15-Oct-2018
15,16.91,16-Oct-2018
16,16.84,17-Oct-2018
17,16.68,19-Oct-2018
18,16.54,22-Oct-2018
19,16.32,23-Oct-2018
20,16.43,24-Oct-2018
21,16.38,25-Oct-2018
22,16.26,26-Oct-2018
23,16.51,29-Oct-2018
24,16.55,30-Oct-2018
25,16.76,31-Oct-2018
26,16.61,01-Nov-2018
27,16.72,02-Nov-2018
28,16.65,05-Nov-2018
29,16.65,06-Nov-2018
30,16.92,09-Nov-2018
31,16.76,12-Nov-2018
32,16.8,13-Nov-2018
33,16.77,14-Nov-2018
34,16.74,15-Nov-2018
35,16.81,16-Nov-2018
36,16.87,19-Nov-2018
37,16.64,20-Nov-2018
38,16.56,21-Nov-2018
39,16.44,22-Nov-2018
40,16.52,26-Nov-2018
41,16.65,27-Nov-2018
42,16.61,28-Nov-2018
43,16.66,29-Nov-2018
44,16.61,30-Nov-2018
45,16.67,03-Dec-2018
46,16.71,04-Dec-2018
47,16.46,05-Dec-2018
48,16.29,06-Dec-2018
49,16.27,07-Dec-2018
50,16.04,10-Dec-2018
51,16.15,11-Dec-2018
52,16.58,12-Dec-2018
53,16.66,13-Dec-2018
54,16.7,14-Dec-2018
55,16.81,17-Dec-2018
56,16.81,18-Dec-2018
57,16.97,19-Dec-2018
58,16.96,20-Dec-2018
59,16.79,21-Dec-2018
60,16.7,24-Dec-2018
61,16.68,26-Dec-2018
62,16.8,27-Dec-2018
63,16.93,28-Dec-2018
64,16.96,31-Dec-2018
65,17.01,01-Jan-2019
66,16.95,02-Jan-2019
67,16.79,03-Jan-2019
68,16.8,04-Jan-2019
69,16.79,07-Jan-2019
70,16.8,08-Jan-2019
71,16.76,09-Jan-2019
72,16.72,10-Jan-2019
73,16.74,11-Jan-2019
74,16.65,14-Jan-2019
75,16.82,15-Jan-2019
76,16.96,16-Jan-2019
77,16.9,17-Jan-2019
78,16.84,18-Jan-2019
79,16.67,21-Jan-2019
80,16.58,22-Jan-2019
81,16.45,23-Jan-2019
82,16.44,24-Jan-2019
83,16.41,25-Jan-2019
84,16.25,28-Jan-2019
85,16.28,29-Jan-2019
86,16.28,30-Jan-2019
87,16.35,31-Jan-2019
88,16.43,01-Feb-2019
89,16.25,04-Feb-2019
90,16.2,05-Feb-2019
91,16.28,06-Feb-2019
92,16.32,07-Feb-2019
93,16.11,08-Feb-2019
94,16.02,11-Feb-2019
95,15.89,12-Feb-2019
96,15.81,13-Feb-2019
97,15.64,14-Feb-2019
98,15.7,15-Feb-2019
99,15.61,18-Feb-2019
100,15.56,19-Feb-2019
101,15.72,20-Feb-2019
