Net Asset Value,Repurchase Price,Sale Price,NAV date
17.55,,,24-Sep-2018
17.55,,,25-Sep-2018
17.37,,,26-Sep-2018
17.22,,,27-Sep-2018
17.07,,,28-Sep-2018
17.16,,,01-Oct-2018
17.14,,,03-Oct-2018
16.88,,,04-Oct-2018
16.53,,,05-Oct-2018
16.45,,,08-Oct-2018
16.33,,,09-Oct-2018
16.51,,,10-Oct-2018
16.33,,,11-Oct-2018
16.53,,,12-Oct-2018
16.71,,,15-Oct-2018
16.91,,,16-Oct-2018
16.84,,,17-Oct-2018
16.68,,,19-Oct-2018
16.54,,,22-Oct-2018
16.32,,,23-Oct-2018
16.43,,,24-Oct-2018
16.38,,,25-Oct-2018
16.26,,,26-Oct-2018
16.51,,,29-Oct-2018
16.55,,,30-Oct-2018
16.76,,,31-Oct-2018
16.61,,,01-Nov-2018
16.72,,,02-Nov-2018
16.65,,,05-Nov-2018
16.65,,,06-Nov-2018
16.92,,,09-Nov-2018
16.76,,,12-Nov-2018
16.8,,,13-Nov-2018
16.77,,,14-Nov-2018
16.74,,,15-Nov-2018
16.81,,,16-Nov-2018
16.87,,,19-Nov-2018
16.64,,,20-Nov-2018
16.56,,,21-Nov-2018
16.44,,,22-Nov-2018
16.52,,,26-Nov-2018
16.65,,,27-Nov-2018
16.61,,,28-Nov-2018
16.66,,,29-Nov-2018
16.61,,,30-Nov-2018
16.67,,,03-Dec-2018
16.71,,,04-Dec-2018
16.46,,,05-Dec-2018
16.29,,,06-Dec-2018
16.27,,,07-Dec-2018
16.04,,,10-Dec-2018
16.15,,,11-Dec-2018
16.58,,,12-Dec-2018
16.66,,,13-Dec-2018
16.7,,,14-Dec-2018
16.81,,,17-Dec-2018
16.81,,,18-Dec-2018
16.97,,,19-Dec-2018
16.96,,,20-Dec-2018
16.79,,,21-Dec-2018
16.7,,,24-Dec-2018
16.68,,,26-Dec-2018
16.8,,,27-Dec-2018
16.93,,,28-Dec-2018
16.96,,,31-Dec-2018
17.01,,,01-Jan-2019
16.95,,,02-Jan-2019
16.79,,,03-Jan-2019
16.8,,,04-Jan-2019
16.79,,,07-Jan-2019
16.8,,,08-Jan-2019
16.76,,,09-Jan-2019
16.72,,,10-Jan-2019
16.74,,,11-Jan-2019
16.65,,,14-Jan-2019
16.82,,,15-Jan-2019
16.96,,,16-Jan-2019
16.9,,,17-Jan-2019
16.84,,,18-Jan-2019
16.67,,,21-Jan-2019
16.58,,,22-Jan-2019
16.45,,,23-Jan-2019
16.44,,,24-Jan-2019
16.41,,,25-Jan-2019
16.25,,,28-Jan-2019
16.28,,,29-Jan-2019
16.28,,,30-Jan-2019
16.35,,,31-Jan-2019
16.43,,,01-Feb-2019
16.25,,,04-Feb-2019
16.2,,,05-Feb-2019
16.28,,,06-Feb-2019
16.32,,,07-Feb-2019
16.11,,,08-Feb-2019
16.02,,,11-Feb-2019
15.89,,,12-Feb-2019
15.81,,,13-Feb-2019
15.64,,,14-Feb-2019
15.7,,,15-Feb-2019
15.61,,,18-Feb-2019
15.56,,,19-Feb-2019
15.72,,,20-Feb-2019
15.72,,,21-Feb-2019
15.84,,,22-Feb-2019
15.93,,,25-Feb-2019
15.86,,,26-Feb-2019
15.82,,,27-Feb-2019
15.93,,,28-Feb-2019
16.18,,,01-Mar-2019
16.52,,,05-Mar-2019
16.71,,,06-Mar-2019
16.66,,,07-Mar-2019
16.65,,,08-Mar-2019
16.86,,,11-Mar-2019
16.95,,,12-Mar-2019
16.9,,,13-Mar-2019
16.92,,,14-Mar-2019
17.04,,,15-Mar-2019
17.1,,,18-Mar-2019
17.33,,,19-Mar-2019
17.17,,,20-Mar-2019
17.24,,,22-Mar-2019
17.16,,,25-Mar-2019
17.3,,,26-Mar-2019
17.27,,,27-Mar-2019
17.41,,,28-Mar-2019
17.52,,,29-Mar-2019
17.59,,,01-Apr-2019
17.55,,,02-Apr-2019
17.41,,,03-Apr-2019
17.33,,,04-Apr-2019
17.43,,,05-Apr-2019
17.48,,,08-Apr-2019
17.58,,,09-Apr-2019
17.54,,,10-Apr-2019
17.59,,,11-Apr-2019
17.72,,,12-Apr-2019
17.71,,,15-Apr-2019
17.74,,,16-Apr-2019
17.59,,,18-Apr-2019
17.41,,,22-Apr-2019
17.43,,,23-Apr-2019
17.53,,,24-Apr-2019
17.44,,,25-Apr-2019
17.53,,,26-Apr-2019
17.49,,,30-Apr-2019
17.34,,,02-May-2019
17.32,,,03-May-2019
17.26,,,06-May-2019
17.24,,,07-May-2019
17.07,,,08-May-2019
17.04,,,09-May-2019
16.95,,,10-May-2019
16.72,,,13-May-2019
16.81,,,14-May-2019
16.75,,,15-May-2019
16.92,,,16-May-2019
17.01,,,17-May-2019
17.39,,,20-May-2019
17.26,,,21-May-2019
17.27,,,22-May-2019
17.06,,,23-May-2019
17.37,,,24-May-2019
17.7,,,27-May-2019
17.74,,,28-May-2019
17.59,,,29-May-2019
17.67,,,30-May-2019
17.62,,,31-May-2019
17.64,,,03-Jun-2019
17.63,,,04-Jun-2019
17.47,,,06-Jun-2019
17.43,,,07-Jun-2019
17.36,,,10-Jun-2019
17.4,,,11-Jun-2019
17.3,,,12-Jun-2019
17.24,,,13-Jun-2019
17.16,,,14-Jun-2019
16.97,,,17-Jun-2019
17.02,,,18-Jun-2019
16.96,,,19-Jun-2019
17.06,,,20-Jun-2019
17.06,,,21-Jun-2019
17.07,,,24-Jun-2019
17.2,,,25-Jun-2019
17.25,,,26-Jun-2019
17.26,,,27-Jun-2019
17.24,,,28-Jun-2019
17.19,,,01-Jul-2019
17.19,,,02-Jul-2019
17.16,,,03-Jul-2019
17.2,,,04-Jul-2019
16.93,,,05-Jul-2019
16.64,,,08-Jul-2019
16.71,,,09-Jul-2019
16.63,,,10-Jul-2019
16.68,,,11-Jul-2019
16.65,,,12-Jul-2019
16.67,,,15-Jul-2019
16.77,,,16-Jul-2019
16.82,,,17-Jul-2019
16.67,,,18-Jul-2019
16.55,,,19-Jul-2019
16.5,,,22-Jul-2019
16.58,,,23-Jul-2019
16.48,,,24-Jul-2019
16.42,,,25-Jul-2019
16.39,,,26-Jul-2019
16.26,,,29-Jul-2019
16.09,,,30-Jul-2019
16.19,,,31-Jul-2019
16.05,,,01-Aug-2019
15.89,,,02-Aug-2019
15.76,,,05-Aug-2019
15.87,,,06-Aug-2019
15.77,,,07-Aug-2019
15.92,,,08-Aug-2019
15.93,,,09-Aug-2019
15.61,,,13-Aug-2019
15.68,,,14-Aug-2019
15.64,,,16-Aug-2019
15.68,,,19-Aug-2019
15.66,,,20-Aug-2019
15.52,,,21-Aug-2019
15.32,,,22-Aug-2019
15.5,,,23-Aug-2019
15.72,,,26-Aug-2019
15.81,,,27-Aug-2019
15.79,,,28-Aug-2019
15.79,,,29-Aug-2019
15.88,,,30-Aug-2019
15.68,,,03-Sep-2019
15.77,,,04-Sep-2019
15.92,,,05-Sep-2019
16.13,,,06-Sep-2019
16.14,,,09-Sep-2019
16.17,,,11-Sep-2019
16.02,,,12-Sep-2019
16.18,,,13-Sep-2019
16.1,,,16-Sep-2019
15.84,,,17-Sep-2019
15.91,,,18-Sep-2019
15.74,,,19-Sep-2019
16.11,,,20-Sep-2019
16.5,,,23-Sep-2019
16.4,,,24-Sep-2019
16.23,,,25-Sep-2019
16.33,,,26-Sep-2019
16.36,,,27-Sep-2019
16.38,,,30-Sep-2019
16.22,,,01-Oct-2019
16.3,,,03-Oct-2019
16.2,,,04-Oct-2019
16.08,,,07-Oct-2019
16.07,,,09-Oct-2019
15.94,,,10-Oct-2019
15.96,,,11-Oct-2019
15.97,,,14-Oct-2019
15.98,,,15-Oct-2019
16.09,,,16-Oct-2019
16.17,,,17-Oct-2019
16.31,,,18-Oct-2019
16.19,,,22-Oct-2019
16.21,,,23-Oct-2019
16.04,,,24-Oct-2019
16.05,,,25-Oct-2019
16.27,,,29-Oct-2019
16.49,,,30-Oct-2019
16.72,,,31-Oct-2019
16.73,,,01-Nov-2019
16.78,,,04-Nov-2019
16.72,,,05-Nov-2019
16.74,,,06-Nov-2019
16.75,,,07-Nov-2019
16.49,,,08-Nov-2019
16.51,,,11-Nov-2019
16.29,,,13-Nov-2019
16.31,,,14-Nov-2019
16.27,,,15-Nov-2019
16.31,,,18-Nov-2019
16.38,,,19-Nov-2019
16.45,,,20-Nov-2019
16.29,,,21-Nov-2019
16.29,,,22-Nov-2019
16.45,,,25-Nov-2019
16.35,,,26-Nov-2019
16.39,,,27-Nov-2019
16.49,,,28-Nov-2019
16.52,,,29-Nov-2019
16.36,,,02-Dec-2019
16.25,,,03-Dec-2019
16.5,,,04-Dec-2019
16.47,,,05-Dec-2019
16.23,,,06-Dec-2019
16.22,,,09-Dec-2019
15.98,,,10-Dec-2019
15.99,,,11-Dec-2019
16.22,,,12-Dec-2019
